,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
102,2022,8,2022-10-30,Titans,Texans,NRG Stadium,"Houston, TX",0,0.6382,0.3618
103,2022,8,2022-10-30,Washington,Colts,Lucas Oil Stadium,"Indianapolis, IN",0,0.597,0.403
104,2022,8,2022-10-30,49ers,Rams,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
105,2022,8,2022-10-30,Giants,Seahawks,Lumen Field,"Seattle, WA",0,0.5673,0.4327
106,2022,8,2022-10-30,Packers,Bills,Highmark Stadium,"Orchard Park, NY",0,0.597,0.403
107,2022,8,2022-10-31,Bengals,Browns,FirstEnergy Stadium,"Cleveland, OH",1,0.4665,0.5335
108,2022,1,2022-09-11,49ers,Bears,Soldier Field,"Chicago, IL",0,0.6197,0.3803
109,2022,1,2022-09-11,Steelers,Bengals,Paycor Stadium,"Cincinnati, OH",1,0.4791,0.5209
110,2022,1,2022-09-11,Eagles,Lions,Ford Field,"Detroit, MI",0,0.615,0.385
111,2022,1,2022-09-11,Patriots,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",1,0.4633,0.5367
112,2022,1,2022-09-11,Ravens,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.6757,0.3243
113,2022,1,2022-09-11,Jaguars,Washington,FedExField,"Landover, MD",1,0.4462,0.5538
114,2022,1,2022-09-11,Browns,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.6045,0.3955
115,2022,1,2022-09-11,Colts,Texans,NRG Stadium,"Houston, TX",0,0.5243,0.4757
116,2022,1,2022-09-11,Giants,Titans,Nissan Stadium,"Nashville, TN",1,0.4674,0.5326
117,2022,1,2022-09-11,Packers,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.6657,0.3343
118,2022,1,2022-09-11,Chiefs,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.7457,0.2543
119,2022,1,2022-09-11,Raiders,Chargers,SoFi Stadium,"Inglewood, CA",0,0.5347,0.4653
120,2022,3,2022-09-26,Cowboys,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6159,0.3841
121,2022,1,2022-09-11,Buccaneers,Cowboys,AT&T Stadium,"Arlington, TX",0,0.5455,0.4545
122,2022,1,2022-09-12,Broncos,Seahawks,Lumen Field,"Seattle, WA",1,0.3301,0.6699
123,2022,9,2022-11-03,Eagles,Texans,NRG Stadium,"Houston, TX",0,0.6382,0.3618
124,2022,9,2022-11-06,Chargers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6134,0.3866
125,2022,9,2022-11-06,Dolphins,Bears,Soldier Field,"Chicago, IL",0,0.597,0.403
126,2022,9,2022-11-06,Panthers,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.597,0.403
127,2022,9,2022-11-06,Packers,Lions,Ford Field,"Detroit, MI",0,0.597,0.403
128,2022,9,2022-11-06,Colts,Patriots,Gillette Stadium,"Foxboro, MA",0,0.5998,0.4002
129,2022,9,2022-11-06,Bills,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.597,0.403
130,2022,9,2022-11-06,Vikings,Washington,FedExField,"Landover, MD",0,0.597,0.403
131,2022,9,2022-11-06,Raiders,Jaguars,TIAA Bank Field,"Jacksonville, FL",0,0.7391,0.2609
132,2022,9,2022-11-06,Seahawks,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.597,0.403
133,2022,9,2022-11-06,Rams,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.6688,0.3312
134,2022,9,2022-11-06,Titans,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",0,0.5836,0.4164
135,2022,9,2022-11-07,Ravens,Saints,Caesars Superdome,"New Orleans, LA",0,0.6059,0.3941
136,2022,10,2022-11-10,Falcons,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5926,0.4074
137,2022,10,2022-11-13,Seahawks,Buccaneers,Allianz Arena,Munich,0,0.597,0.403
138,2022,10,2022-11-13,Vikings,Bills,Highmark Stadium,"Orchard Park, NY",0,0.597,0.403
139,2022,10,2022-11-13,Lions,Bears,Soldier Field,"Chicago, IL",0,0.5836,0.4164
140,2022,10,2022-11-13,Broncos,Titans,Nissan Stadium,"Nashville, TN",0,0.597,0.403
141,2022,10,2022-11-13,Jaguars,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",1,0.4418,0.5582
142,2022,10,2022-11-13,Browns,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.597,0.403
143,2022,10,2022-11-13,Texans,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6159,0.3841
