,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location,weather_type,temperature,humidity,wind
723,2019,7,Vikings,Lions,42,30,401127947,-12,0,1,Vikings,2019_07_Lions_Vikings,Matt Patricia,Mike Zimmer,Home,cloudy,69,70,5
724,2019,7,Raiders,Packers,24,42,401127949,18,1,0,Packers,2019_07_Packers_Raiders,Matt LaFleur,Jon Gruden,Home,sunny,55,74,6
725,2019,8,Seahawks,Falcons,27,20,401128035,-7,0,1,Seahawks,2019_08_Falcons_Seahawks,Dan Quinn,Pete Carroll,Home,sunny,65,63,5
726,2019,4,Cowboys,Saints,10,12,401128102,2,1,0,Saints,2019_04_Saints_Cowboys,Sean Payton,Jason Garrett,Home,sunny,87,62,10
727,2019,5,Falcons,Texans,32,53,401127960,21,1,0,Texans,2019_05_Texans_Falcons,Bill O'Brien,Dan Quinn,Home,cloudy,86,63,4
728,2019,8,Washington,Vikings,9,19,401127905,10,1,0,Vikings,2019_08_Vikings_Washington,Mike Zimmer,Bill Callahan,Home,indoor,68,70,5
729,2019,5,Broncos,Chargers,20,13,401128019,-7,0,1,Broncos,2019_05_Chargers_Broncos,Anthony Lynn,Vic Fangio,Home,sunny,85,35,12
730,2019,5,Packers,Cowboys,34,24,401128029,-10,0,1,Packers,2019_05_Cowboys_Packers,Jason Garrett,Matt LaFleur,Home,cloudy,68,70,5
731,2019,4,Bengals,Steelers,3,27,401128109,24,1,0,Steelers,2019_04_Steelers_Bengals,Mike Tomlin,Zac Taylor,Home,cloudy,76,72,1
732,2019,7,Patriots,Jets,33,0,401127894,-33,0,1,Patriots,2019_07_Jets_Patriots,Adam Gase,Bill Belichick,Home,cloudy,58,73,0
733,2019,7,Eagles,Cowboys,10,37,401127987,27,1,0,Cowboys,2019_07_Cowboys_Eagles,Jason Garrett,Doug Pederson,Home,cloudy,68,70,5
734,2019,7,Ravens,Seahawks,30,16,401127985,-14,0,1,Ravens,2019_07_Seahawks_Ravens,Pete Carroll,John Harbaugh,Home,rain,5,79,8
