,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
216,15,Raiders,Browns,Raiders,Raiders,LV,LV,-165,100,Yes,160.60606060606062
217,15,Saints,Buccaneers,Saints,Saints,NO,NO,405,100,Yes,505.0
218,15,Seahawks,Rams,Rams,Rams,LAR,LAR,-210,100,Yes,147.61904761904762
219,15,Texans,Jaguars,Jaguars,Texans,JAX,JAX,-220,100,No,-100.0
220,15,Titans,Steelers,Steelers,Steelers,PIT,PIT,-110,100,Yes,190.9090909090909
221,15,Vikings,Bears,Bears,Vikings,CHI,CHI,195,100,No,-100.0
222,15,Washington,Eagles,Washington,Eagles,WAS,WAS,330,100,No,-100.0
223,16,49ers,Titans,Titans,Titans,TEN,TEN,155,100,Yes,255.0
224,16,Bears,Seahawks,Seahawks,Bears,SEA,SEA,-275,100,No,-100.0
225,16,Bills,Patriots,Patriots,Bills,NE,NE,-135,100,No,-100.0
226,16,Broncos,Raiders,Raiders,Raiders,LV,LV,-110,100,Yes,190.9090909090909
227,16,Browns,Packers,Packers,Packers,GB,GB,-355,100,Yes,128.16901408450704
228,16,Buccaneers,Panthers,Buccaneers,Buccaneers,TB,TB,-460,100,Yes,121.73913043478261
229,16,Chargers,Texans,Chargers,Texans,LAC,LAC,-440,100,No,-100.0
230,16,Colts,Cardinals,Colts,Colts,IND,IND,-105,100,Yes,195.23809523809524
231,16,Dolphins,Saints,Saints,Dolphins,NO,NO,-165,100,No,-100.0
232,16,Giants,Eagles,Eagles,Eagles,PHI,PHI,-455,100,Yes,121.97802197802199
233,16,Jaguars,Jets,Jaguars,Jets,JAX,JAX,-100,100,No,-100.0
234,16,Lions,Falcons,Lions,Falcons,DET,DET,205,100,No,-100.0
235,16,Rams,Vikings,Vikings,Rams,MIN,MIN,135,100,No,-100.0
236,16,Ravens,Bengals,Bengals,Bengals,CIN,CIN,-135,100,Yes,174.07407407407408
237,16,Steelers,Chiefs,Chiefs,Chiefs,KC,KC,-390,100,Yes,125.64102564102564
238,16,Washington,Cowboys,Cowboys,Cowboys,DAL,DAL,-480,100,Yes,120.83333333333333
239,17,Broncos,Chargers,Chargers,Chargers,LAC,LAC,-365,100,Yes,127.3972602739726
240,17,Browns,Steelers,Steelers,Steelers,PIT,PIT,150,100,Yes,250.0
241,17,Buccaneers,Jets,Buccaneers,Buccaneers,TB,TB,-865,100,Yes,111.5606936416185
242,17,Cardinals,Cowboys,Cowboys,Cardinals,DAL,DAL,-280,100,No,-100.0
243,17,Chiefs,Bengals,Bengals,Bengals,CIN,CIN,165,100,Yes,265.0
244,17,Dolphins,Titans,Titans,Titans,TEN,TEN,-170,100,Yes,158.8235294117647
245,17,Eagles,Washington,Eagles,Eagles,PHI,PHI,-250,100,Yes,140.0
246,17,Falcons,Bills,Bills,Bills,BUF,BUF,-950,100,Yes,110.52631578947368
247,17,Giants,Bears,Bears,Bears,CHI,CHI,-290,100,Yes,134.48275862068965
248,17,Jaguars,Patriots,Patriots,Patriots,NE,NE,-1195,100,Yes,108.36820083682008
249,17,Lions,Seahawks,Seahawks,Seahawks,SEA,SEA,-380,100,Yes,126.3157894736842
250,17,Panthers,Saints,Saints,Saints,NO,NO,-300,100,Yes,133.33333333333334
251,17,Raiders,Colts,Colts,Raiders,IND,IND,-390,100,No,-100.0
252,17,Rams,Ravens,Rams,Rams,LAR,LAR,-315,100,Yes,131.74603174603175
253,17,Texans,49ers,Texans,49ers,HOU,HOU,545,100,No,-100.0
254,17,Vikings,Packers,Packers,Packers,GB,GB,-735,100,Yes,113.60544217687075
255,18,49ers,Rams,Rams,49ers,LAR,LAR,-205,100,No,-100.0
256,18,Bears,Vikings,Vikings,Vikings,MIN,MIN,-210,100,Yes,147.61904761904762
257,18,Bengals,Browns,Browns,Browns,CLE,CLE,-255,100,Yes,139.2156862745098
258,18,Chargers,Raiders,Raiders,Raiders,LV,LV,140,100,Yes,240.0
259,18,Chiefs,Broncos,Chiefs,Chiefs,KC,KC,-605,100,Yes,116.52892561983471
260,18,Colts,Jaguars,Colts,Jaguars,IND,IND,-1045,100,No,-100.0
261,18,Cowboys,Eagles,Eagles,Cowboys,PHI,PHI,160,100,No,-100.0
262,18,Jets,Bills,Bills,Bills,BUF,BUF,-1125,100,Yes,108.88888888888889
263,18,Packers,Lions,Lions,Lions,DET,DET,145,100,Yes,245.0
264,18,Panthers,Buccaneers,Buccaneers,Buccaneers,TB,TB,-375,100,Yes,126.66666666666667
265,18,Patriots,Dolphins,Dolphins,Dolphins,MIA,MIA,230,100,Yes,330.0
266,18,Saints,Falcons,Saints,Saints,NO,NO,-185,100,Yes,154.05405405405406
267,18,Seahawks,Cardinals,Seahawks,Seahawks,SEA,SEA,210,100,Yes,310.0
268,18,Steelers,Ravens,Ravens,Steelers,BAL,BAL,-190,100,No,-100.0
269,18,Titans,Texans,Texans,Titans,HOU,HOU,410,100,No,-100.0
270,18,Washington,Giants,Giants,Washington,NYG,NYG,255,100,No,-100.0
