,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
137,10,Browns,Patriots,Patriots,Patriots,NE,NE,-135.0,100.0,Yes,174.07407407407408
138,10,Buccaneers,Washington,Buccaneers,Washington,TB,TB,-435.0,100.0,No,-100.0
139,10,Chiefs,Raiders,Chiefs,Chiefs,KC,KC,-140.0,100.0,Yes,171.42857142857144
140,10,Eagles,Broncos,Broncos,Eagles,DEN,DEN,-145.0,100.0,No,-100.0
141,10,Falcons,Cowboys,Cowboys,Cowboys,DAL,DAL,-415.0,100.0,Yes,124.09638554216868
142,10,Jaguars,Colts,Colts,Colts,IND,IND,-465.0,100.0,Yes,121.50537634408602
143,10,Panthers,Cardinals,Cardinals,Panthers,ARI,ARI,-480.0,100.0,No,-100.0
144,10,Rams,49ers,49ers,49ers,SF,SF,170.0,100.0,Yes,270.0
145,10,Ravens,Dolphins,Ravens,Dolphins,BAL,BAL,-410.0,100.0,No,-100.0
146,10,Saints,Titans,Titans,Titans,TEN,TEN,-150.0,100.0,Yes,166.66666666666669
147,10,Seahawks,Packers,Packers,Packers,GB,GB,-175.0,100.0,Yes,157.14285714285714
148,10,Vikings,Chargers,Chargers,Vikings,LAC,LAC,-165.0,100.0,No,-100.0
149,11,49ers,Jaguars,49ers,49ers,SF,SF,-280.0,100.0,Yes,135.71428571428572
150,11,Bengals,Raiders,Raiders,Bengals,LV,LV,-100.0,100.0,No,-100.0
151,11,Cardinals,Seahawks,Cardinals,Cardinals,ARI,ARI,-130.0,100.0,Yes,176.9230769230769
152,11,Colts,Bills,Colts,Colts,IND,IND,265.0,100.0,Yes,365.0
153,11,Cowboys,Chiefs,Chiefs,Chiefs,KC,KC,-140.0,100.0,Yes,171.42857142857144
154,11,Dolphins,Jets,Dolphins,Dolphins,MIA,MIA,-180.0,100.0,Yes,155.55555555555554
155,11,Giants,Buccaneers,Buccaneers,Buccaneers,TB,TB,-515.0,100.0,Yes,119.41747572815534
156,11,Lions,Browns,Browns,Browns,CLE,CLE,-535.0,100.0,Yes,118.69158878504673
157,11,Packers,Vikings,Vikings,Vikings,MIN,MIN,105.0,100.0,Yes,205.0
158,11,Patriots,Falcons,Patriots,Patriots,NE,NE,-310.0,100.0,Yes,132.25806451612902
159,11,Ravens,Bears,Ravens,Ravens,BAL,BAL,-220.0,100.0,Yes,145.45454545454544
160,11,Saints,Eagles,Saints,Eagles,NO,NO,110.0,100.0,No,-100.0
