,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
151,2022,11,2022-11-20,Bears,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.5985,0.4015
152,2022,11,2022-11-20,Browns,Bills,Highmark Stadium,"Orchard Park, NY",1,0.2756,0.7244
153,2022,11,2022-11-20,Eagles,Colts,Lucas Oil Stadium,"Indianapolis, IN",1,0.4311,0.5689
154,2022,11,2022-11-20,Jets,Patriots,Gillette Stadium,"Foxboro, MA",1,0.1447,0.8553
155,2022,11,2022-11-20,Rams,Saints,Caesars Superdome,"New Orleans, LA",1,0.4184,0.5816
156,2022,11,2022-11-20,Lions,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.61,0.39
157,2022,11,2022-11-20,Panthers,Ravens,M&T Bank Stadium,"Baltimore, MD",1,0.3492,0.6508
158,2022,11,2022-11-20,Washington,Texans,NRG Stadium,"Houston, TX",1,0.492,0.508
159,2022,11,2022-11-20,Raiders,Broncos,Empower Field at Mile High,"Denver, CO",0,0.5014,0.4986
160,2022,11,2022-11-20,Cowboys,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.3781,0.6219
161,2022,11,2022-11-20,Chiefs,Chargers,SoFi Stadium,"Inglewood, CA",0,0.7372,0.2628
162,2022,11,2022-11-20,Bengals,Steelers,Acrisure Stadium,"Pittsburgh, PA",1,0.1266,0.8734
163,2022,11,2022-11-21,49ers,Cardinals,Estadio Azteca,Mexico City,0,0.621,0.379
164,2022,14,2022-12-08,Raiders,Rams,SoFi Stadium,"Inglewood, CA",1,0.3197,0.6803
165,2022,14,2022-12-11,Jets,Bills,Highmark Stadium,"Orchard Park, NY",1,0.1973,0.8027
166,2022,14,2022-12-11,Browns,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.503,0.497
167,2022,14,2022-12-11,Texans,Cowboys,AT&T Stadium,"Arlington, TX",1,0.4025,0.5975
168,2022,14,2022-12-11,Vikings,Lions,Ford Field,"Detroit, MI",0,0.6722,0.3278
169,2022,14,2022-12-11,Jaguars,Titans,Nissan Stadium,"Nashville, TN",1,0.1348,0.8652
170,2022,14,2022-12-11,Eagles,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6958,0.3042
171,2022,14,2022-12-11,Ravens,Steelers,Acrisure Stadium,"Pittsburgh, PA",1,0.4431,0.5569
172,2022,14,2022-12-11,Dolphins,Chargers,SoFi Stadium,"Inglewood, CA",1,0.3446,0.6554
173,2022,14,2022-12-11,Buccaneers,49ers,Levi's Stadium,"Santa Clara, CA",0,0.5057,0.4943
174,2022,14,2022-12-11,Panthers,Seahawks,Lumen Field,"Seattle, WA",1,0.3867,0.6133
175,2022,14,2022-12-11,Chiefs,Broncos,Empower Field at Mile High,"Denver, CO",0,0.7908,0.2092
176,2022,14,2022-12-12,Patriots,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.729,0.271
177,2022,15,2022-12-15,49ers,Seahawks,Lumen Field,"Seattle, WA",1,0.3783,0.6217
178,2022,15,2022-12-18,Dolphins,Bills,Highmark Stadium,"Orchard Park, NY",1,0.2797,0.7203
179,2022,15,2022-12-18,Ravens,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.668,0.332
180,2022,15,2022-12-18,Colts,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.33,0.67
181,2022,15,2022-12-18,Falcons,Saints,Caesars Superdome,"New Orleans, LA",1,0.2191,0.7809
182,2022,15,2022-12-18,Giants,Washington,FedExField,"Landover, MD",1,0.4061,0.5939
183,2022,15,2022-12-18,Eagles,Bears,Soldier Field,"Chicago, IL",1,0.4512,0.5488
184,2022,15,2022-12-18,Lions,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.5258,0.4742
185,2022,15,2022-12-18,Steelers,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.684,0.316
186,2022,15,2022-12-18,Cowboys,Jaguars,TIAA Bank Field,"Jacksonville, FL",0,0.7024,0.2976
187,2022,15,2022-12-18,Chiefs,Texans,NRG Stadium,"Houston, TX",0,0.8283,0.1717
188,2022,15,2022-12-18,Cardinals,Broncos,Empower Field at Mile High,"Denver, CO",0,0.5304,0.4696
189,2022,15,2022-12-18,Titans,Chargers,SoFi Stadium,"Inglewood, CA",1,0.4993,0.5007
190,2022,15,2022-12-18,Bengals,Buccaneers,Raymond James Stadium,"Tampa, FL",1,0.2024,0.7976
191,2022,15,2022-12-18,Patriots,Raiders,Allegiant Stadium,"Las Vegas, NV",0,0.6231,0.3769
192,2022,15,2022-12-19,Rams,Packers,Lambeau Field,"Green Bay, WI",1,0.4288,0.5712
193,2022,16,2022-12-22,Jaguars,Jets,MetLife Stadium,"East Rutherford, NJ",1,0.3533,0.6467
194,2022,16,2022-12-24,Bills,Bears,Soldier Field,"Chicago, IL",0,0.5548,0.4452
195,2022,16,2022-12-24,Saints,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.7555,0.2445
196,2022,16,2022-12-24,Texans,Titans,Nissan Stadium,"Nashville, TN",1,0.2948,0.7052
197,2022,16,2022-12-24,Seahawks,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",1,0.3824,0.6176
198,2022,16,2022-12-24,Giants,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.2216,0.7784
199,2022,16,2022-12-24,Bengals,Patriots,Gillette Stadium,"Foxboro, MA",1,0.1446,0.8554
200,2022,16,2022-12-24,Lions,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5152,0.4848
201,2022,16,2022-12-24,Falcons,Ravens,M&T Bank Stadium,"Baltimore, MD",1,0.3182,0.6818
202,2022,16,2022-12-24,Washington,49ers,Levi's Stadium,"Santa Clara, CA",1,0.3693,0.6307
203,2022,16,2022-12-24,Eagles,Cowboys,AT&T Stadium,"Arlington, TX",1,0.427,0.573
204,2022,16,2022-12-24,Raiders,Steelers,Acrisure Stadium,"Pittsburgh, PA",1,0.2455,0.7545
205,2022,12,2022-11-24,Bills,Lions,Ford Field,"Detroit, MI",0,0.7229,0.2771
206,2022,12,2022-11-24,Giants,Cowboys,AT&T Stadium,"Arlington, TX",1,0.2591,0.7409
207,2022,12,2022-11-24,Patriots,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.4866,0.5134
208,2022,16,2022-12-25,Packers,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",1,0.4964,0.5036
209,2022,16,2022-12-25,Broncos,Rams,SoFi Stadium,"Inglewood, CA",1,0.2172,0.7828
210,2022,16,2022-12-25,Buccaneers,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.6614,0.3386
211,2022,16,2022-12-26,Chargers,Colts,Lucas Oil Stadium,"Indianapolis, IN",1,0.476,0.524
212,2022,12,2022-11-27,Buccaneers,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.5204,0.4796
213,2022,12,2022-11-27,Bengals,Titans,Nissan Stadium,"Nashville, TN",1,0.1506,0.8494
214,2022,12,2022-11-27,Texans,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",1,0.4257,0.5743
215,2022,12,2022-11-27,Bears,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.6359,0.3641
216,2022,12,2022-11-27,Falcons,Washington,FedExField,"Landover, MD",0,0.5556,0.4444
217,2022,12,2022-11-27,Broncos,Panthers,Bank of America Stadium,"Charlotte, NC",1,0.4413,0.5587
218,2022,12,2022-11-27,Ravens,Jaguars,TIAA Bank Field,"Jacksonville, FL",0,0.8322,0.1678
219,2022,12,2022-11-27,Chargers,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.6736,0.3264
220,2022,12,2022-11-27,Raiders,Seahawks,Lumen Field,"Seattle, WA",1,0.3549,0.6451
221,2022,12,2022-11-27,Rams,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",1,0.4923,0.5077
222,2022,12,2022-11-27,Saints,49ers,Levi's Stadium,"Santa Clara, CA",0,0.7444,0.2556
223,2022,12,2022-11-27,Packers,Eagles,Lincoln Financial Field,"Philadelphia, PA",1,0.4191,0.5809
224,2022,12,2022-11-28,Steelers,Colts,Lucas Oil Stadium,"Indianapolis, IN",0,0.5134,0.4866
225,2022,13,2022-12-01,Bills,Patriots,Gillette Stadium,"Foxboro, MA",1,0.4006,0.5994
226,2022,13,2022-12-04,Steelers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6583,0.3417
227,2022,13,2022-12-04,Packers,Bears,Soldier Field,"Chicago, IL",1,0.4972,0.5028
228,2022,13,2022-12-04,Jaguars,Lions,Ford Field,"Detroit, MI",1,0.367,0.633
229,2022,13,2022-12-04,Jets,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.1889,0.8111
230,2022,13,2022-12-04,Washington,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.5977,0.4023
231,2022,13,2022-12-04,Titans,Eagles,Lincoln Financial Field,"Philadelphia, PA",1,0.4082,0.5918
232,2022,13,2022-12-04,Broncos,Ravens,M&T Bank Stadium,"Baltimore, MD",1,0.2166,0.7834
233,2022,13,2022-12-04,Browns,Texans,NRG Stadium,"Houston, TX",1,0.4696,0.5304
234,2022,13,2022-12-04,Seahawks,Rams,SoFi Stadium,"Inglewood, CA",1,0.434,0.566
235,2022,13,2022-12-04,Dolphins,49ers,Levi's Stadium,"Santa Clara, CA",1,0.3534,0.6466
236,2022,13,2022-12-04,Chiefs,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.8464,0.1536
237,2022,13,2022-12-04,Chargers,Raiders,Allegiant Stadium,"Las Vegas, NV",0,0.5592,0.4408
238,2022,13,2022-12-04,Colts,Cowboys,AT&T Stadium,"Arlington, TX",1,0.3769,0.6231
239,2022,13,2022-12-05,Saints,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.6813,0.3187
