,idgame,date,stade,location,attendance,capacity,people,line,over_under,attendance_info,month,dayofmonth,dayofweek,hour,minute
1048,401220339,2020-12-20 21:05:00+00:00,State Farm Stadium,"Glendale, AZ",,65000,,Line: ARI -6.0,Over/Under: 49.5,0,12,20,6,21,5
1049,401128060,2019-12-15 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",72894.0,82500,88.0,,,1,12,15,6,18,0
1050,401220149,2020-12-20 18:00:00+00:00,M&T Bank Stadium,"Baltimore, MD",,70745,,Line: BAL -12.5,Over/Under: 49.0,0,12,20,6,18,0
1051,401128071,2019-12-15 18:00:00+00:00,FedExField,"Landover, MD",63246.0,67617,94.0,,,1,12,15,6,18,0
1052,401220255,2020-12-21 01:20:00+00:00,MetLife Stadium,"East Rutherford, NJ",,82500,,Line: CLE -6.0,Over/Under: 44.5,0,12,21,0,1,20
1053,401128024,2019-12-15 18:00:00+00:00,Bank of America Stadium,"Charlotte, NC",72544.0,73778,98.0,,,1,12,15,6,18,0
1054,401220325,2020-12-20 21:25:00+00:00,Caesars Superdome,"New Orleans, LA",3000.0,73000,4.0,Line: KC -2.5,Over/Under: 53.5,1,12,20,6,21,25
1055,401220156,2020-12-22 01:15:00+00:00,Paycor Stadium,"Cincinnati, OH",10249.0,65515,16.0,Line: PIT -14.5,Over/Under: 40.5,1,12,22,1,1,15
1056,401128094,2019-12-15 21:05:00+00:00,State Farm Stadium,"Glendale, AZ",63345.0,65000,97.0,,,1,12,15,6,21,5
1057,401128103,2019-12-15 21:25:00+00:00,AT&T Stadium,"Arlington, TX",90436.0,100000,90.0,,,1,12,15,6,21,25
1058,400951741,2017-12-31 18:00:00+00:00,Ford Field,"Detroit, MI",62501.0,64500,97.0,,,1,12,31,6,18,0
1059,400951745,2017-12-31 18:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",60557.0,63000,96.0,,,1,12,31,6,18,0
1060,400951756,2017-12-31 18:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,,,1,12,31,6,18,0
1061,401030868,2018-12-22 21:30:00+00:00,Nissan Stadium,"Nashville, TN",60746.0,69143,88.0,,,1,12,22,5,21,30
1062,401128065,2019-12-16 01:20:00+00:00,Acrisure Stadium,"Pittsburgh, PA",64694.0,68400,95.0,,,1,12,16,0,1,20
1063,401128117,2019-12-17 01:15:00+00:00,Caesars Superdome,"New Orleans, LA",73053.0,73000,100.0,,,1,12,17,1,1,15
1064,401128108,2019-12-15 21:25:00+00:00,Levi's Stadium,"Santa Clara, CA",70910.0,68500,100.0,,,1,12,15,6,21,25
1065,401128099,2019-12-15 21:05:00+00:00,Oakland Coliseum,"Oakland, CA",52788.0,55997,94.0,,,1,12,15,6,21,5
1066,400951759,2017-12-31 18:00:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69596.0,69879,100.0,,,1,12,31,6,18,0
1067,400951750,2017-12-31 18:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66802.0,66468,100.0,,,1,12,31,6,18,0
1068,400951734,2017-12-31 21:25:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",74141.0,75000,99.0,,,1,12,31,6,21,25
1069,400951757,2017-12-31 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",76269.0,82500,92.0,,,1,12,31,6,18,0
1070,401030872,2018-12-23 18:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,,,1,12,23,6,18,0
1071,400951788,2017-12-31 21:25:00+00:00,Nissan Stadium,"Nashville, TN",65501.0,69143,95.0,,,1,12,31,6,21,25
1072,400951789,2017-12-31 21:25:00+00:00,Empower Field at Mile High,"Denver, CO",75928.0,76125,100.0,,,1,12,31,6,21,25
1073,400951762,2017-12-31 18:00:00+00:00,Acrisure Stadium,"Pittsburgh, PA",50704.0,68400,74.0,,,1,12,31,6,18,0
1074,401030875,2018-12-23 18:00:00+00:00,AT&T Stadium,"Arlington, TX",92851.0,100000,93.0,,,1,12,23,6,18,0
1075,401030877,2018-12-23 18:00:00+00:00,Ford Field,"Detroit, MI",61641.0,64500,96.0,,,1,12,23,6,18,0
1076,401030861,2018-12-23 18:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",61738.0,63000,98.0,,,1,12,23,6,18,0
1077,400951748,2017-12-31 21:25:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",65571.0,64767,100.0,,,1,12,31,6,21,25
1078,400951792,2017-12-31 21:25:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",66125.0,77500,85.0,,,1,12,31,6,21,25
1079,401030866,2018-12-23 18:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",65798.0,64767,100.0,,,1,12,23,6,18,0
1080,401127898,2019-12-21 21:30:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,,,1,12,21,5,21,30
1081,401127901,2019-12-21 18:00:00+00:00,Raymond James Stadium,"Tampa, FL",49036.0,65828,74.0,,,1,12,21,5,18,0
1082,401030892,2018-12-23 18:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,,,1,12,23,6,18,0
1083,401127903,2019-12-22 18:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",70873.0,75000,94.0,,,1,12,22,6,18,0
1084,401127900,2019-12-22 01:15:00+00:00,Levi's Stadium,"Santa Clara, CA",70103.0,68500,100.0,,,1,12,22,6,1,15
1085,400951764,2017-12-31 21:25:00+00:00,Raymond James Stadium,"Tampa, FL",55376.0,65828,84.0,,,1,12,31,6,21,25
1086,400951739,2017-12-31 21:25:00+00:00,M&T Bank Stadium,"Baltimore, MD",70507.0,70745,100.0,,,1,12,31,6,21,25
1087,401127906,2019-12-22 18:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",61845.0,63000,98.0,,,1,12,22,6,18,0
1088,401127935,2019-12-22 18:00:00+00:00,Nissan Stadium,"Nashville, TN",66756.0,69143,97.0,,,1,12,22,6,18,0
1089,401030870,2018-12-23 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77982.0,82500,95.0,,,1,12,23,6,18,0
1090,400951793,2017-12-31 21:25:00+00:00,Lumen Field,"Seattle, WA",69078.0,68740,100.0,,,1,12,31,6,21,25
1091,401030895,2018-12-23 18:00:00+00:00,Bank of America Stadium,"Charlotte, NC",73722.0,73778,100.0,,,1,12,23,6,18,0
1092,401030864,2018-12-23 18:00:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69696.0,69879,100.0,,,1,12,23,6,18,0
1093,401030907,2018-12-23 21:05:00+00:00,State Farm Stadium,"Glendale, AZ",61759.0,65000,95.0,,,1,12,23,6,21,5
1094,401030757,2018-12-30 18:00:00+00:00,Lambeau Field,"Green Bay, WI",77341.0,81041,95.0,,,1,12,30,6,18,0
1095,401030722,2018-12-30 18:00:00+00:00,Highmark Stadium,"Orchard Park, NY",67420.0,71621,94.0,,,1,12,30,6,18,0
1096,401030768,2018-12-30 18:00:00+00:00,Caesars Superdome,"New Orleans, LA",73028.0,73000,100.0,,,1,12,30,6,18,0
1097,401127904,2019-12-22 18:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,,,1,12,22,6,18,0
1098,401030765,2018-12-30 18:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,,,1,12,30,6,18,0
1099,401030812,2018-12-30 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77750.0,82500,94.0,,,1,12,30,6,18,0
